word,def1,def2,def3,pos,loo1,loo2,loo3,soundfile
ungetatable,inaccessible,,,Adjective,,,,https://audio.oxforddictionaries.com/en/mp3/ungetatable__us_1.mp3
yellowfin,"a widely distributed, commercially important tuna that has yellow anal and dorsal fins.",,,Noun,,,,https://audio.oxforddictionaries.com/en/mp3/yellowfin__us_2.mp3
abhenry,"the centimeter-gram-second unit of inductance, equivalent to 10-9 henry.",the cgs unit of inductance in the electromagnetic system; the inductance that results when a rate of change of current of 1 abampere per second generates an induced emf of 1 abvolt: equivalent to 10 –9 henry,,"noun,",,,,https://static.sfdict.com/audio/A00/A0018800.mp3
absorptive,able or tending to absorb; absorbent.,,,adjective,Latin,,,https://static.sfdict.com/audio/A00/A0039600.mp3
academese,"pedantic, pretentious, and often confusing academic  jargon: a presumably scholarly article written in incomprehensible academese.",,,noun,,,,https://static.sfdict.com/audio/A00/A0046300.mp3
accelerate,"to cause faster or greater activity, development, progress, advancement, etc., in: to accelerate economic growth.","to go, occur, or cause to go or occur more quickly; speed up",,"verb (used with object),",Latin,Latin,,https://static.sfdict.com/audio/A00/A0053300.mp3
accouterment,a clothing accessory or an accessory piece of equipment: These nautical cufflinks are the perfect accouterment to any boating enthusiast's dress shirt.You will need sleeping bags and other accouterments for camping.,,,noun,French,,,https://static.sfdict.com/audio/A00/A0063300.mp3
Achernar,a star of the first magnitude in the constellation Eridanus.,"the brightest star in the constellation Eridanus, visible only in the S hemisphere. Visual magnitude: 0.5; spectral type: B3V; distance: 144 light years",,noun,,,,https://static.sfdict.com/audio/A00/A0078200.mp3
acrylic,of or derived from acrylic acid.,"of, derived from, or concerned with acrylic acid",,adjective,,,,https://static.sfdict.com/audio/A01/A0102400.mp3
aerophilately,"the study or collection of airmail stamps, cancellations, etc.",,,noun,,,,https://static.sfdict.com/audio/A01/A0173000.mp3
affianced,betrothed; engaged.,,,adjective,,,,https://static.sfdict.com/audio/A01/A0183400.mp3
ageusia,loss or impairment of the sense of taste.,pathol,,noun,Latin,Greek,Greek,https://static.sfdict.com/audio/A02/A0209100.mp3
ailette,"either of two standing pieces of metal or cuir-bouilli, attached to the shoulders as an ornament or as a means of displaying the wearer's arms: used c1275–c1350.",,,noun,French,,,https://static.sfdict.com/audio/A02/A0238400.mp3
Airedale,"one of a breed of large terriers having a wiry, black-and-tan coat and a docked tail.",a large rough-haired tan-coloured breed of terrier characterized by a black saddle-shaped patch covering most of the back,,noun,,,,https://static.sfdict.com/audio/A02/A0243500.mp3
algae,Microbiology.,"unicellular or multicellular organisms formerly classified as plants, occurring in fresh or salt water or moist ground, that have chlorophyll and other pigments but lack true stems, roots, and leaves. Algae, which are now regarded as protoctists, include the seaweeds, diatoms, and spirogyra",,"plural noun,",Latin,Latin,,https://static.sfdict.com/audio/A02/A0299200.mp3
allergenic,causing allergic sensitization.,,,adjective,,,,https://static.sfdict.com/audio/A03/A0322500.mp3
allonym,the name of another person taken by an author as a pen name.,"a name, often one of historical significance or that of another person, assumed by a person, esp an author",,noun,,,,https://static.sfdict.com/audio/A03/A0330600.mp3
amateurish,"characteristic of an amateur,  especially in having the faults or deficiencies of an amateur;  inept: Though an enthusiastic violinist, he gave an amateurish performance.",lacking professional skill or expertise,,adjective,,,,https://static.sfdict.com/audio/A03/A0370300.mp3
ambrosial,exceptionally pleasing to taste or smell; especially delicious or fragrant.,,,adjective,,,,https://static.sfdict.com/audio/A03/A0379800.mp3
amphistylar,(of a classical temple) having columns on both fronts.,(esp of a classical temple) having a set of columns at both ends or at both sides,,adjective,Greek,,,https://static.sfdict.com/audio/A04/A0414500.mp3
anaemic,anemic.,relating to or suffering from anaemia,,adjective,,,,https://static.sfdict.com/audio/A04/A0432800.mp3
anaglyph,"an ornament sculptured or embossed in low relief, as a cameo.",photog,,noun,Greek,Greek,,https://static.sfdict.com/audio/A04/A0433800.mp3
anagram,"a word, phrase, or sentence formed from another by rearranging its letters: “Angel” is an anagram of “glean.”",a word or phrase the letters of which can be rearranged into another word or phrase,,noun,Latin,French,Latin,https://static.sfdict.com/audio/A04/A0434700.mp3
anemometer,any instrument for measuring the speed of wind.,Also called: wind gauge,,noun,,,,https://static.sfdict.com/audio/A04/A0465900.mp3
antenna,"a conductor by which electromagnetic waves are sent out or received, consisting commonly of a wire or set of wires; aerial.",plural -nae (-na?),,"noun,",Latin,Latin,,https://static.sfdict.com/audio/A05/A0521300.mp3
approbative,approving;  expressing approbation.,,,adjective,Latin,,,https://static.sfdict.com/audio/A06/A0617800.mp3
appurtenance,Usually appurtenances .,a secondary or less significant thing or part,,noun,Middle English,Latin,French,https://static.sfdict.com/audio/A06/A0619300.mp3
aquiclude,"any geological formation that absorbs and holds water but does not transmit it at a sufficient rate to supply springs, wells, etc.",,,noun,Latin,,,https://static.sfdict.com/audio/A06/A0628000.mp3
archive,Usually archives.,"a collection of records of or about an institution, family, etc",,noun,Latin,French,Greek,https://static.sfdict.com/audio/A06/A0657600.mp3
armament,the arms  and equipment with which a military unit or military apparatus is supplied.,(often plural),,noun,Latin,Latin,,https://static.sfdict.com/audio/A06/A0683800.mp3
artesian,"noting, pertaining to, or characteristic of an artesian well.",,,adjective,French,,,https://static.sfdict.com/audio/A07/A0707200.mp3
aspersion,a damaging or derogatory remark or criticism;slander: casting aspersions on a campaign rival.,a disparaging or malicious remark; slanderous accusation (esp in the phrase cast aspersions (on)),,noun,Latin,,,https://static.sfdict.com/audio/A07/A0742400.mp3
astrobleme,"an erosional scar on the earth's surface, produced by the impact of a cosmic body, as a meteorite.","a mark on the earth's surface, usually circular, formed by a large ancient meteorite impact",,noun,Greek,Greek,,https://static.sfdict.com/audio/A07/A0765100.mp3
attagirl,"(used as an enthusiastic expression of encouragement or approval to a girl,  woman, or female animal.)",,,interjection,,,,https://static.sfdict.com/audio/A07/A0791700.mp3
auspex,an augur of ancient Rome.,Roman history another word for augur (def. 1),,"noun,",Latin,Latin,,https://static.sfdict.com/audio/A08/A0818500.mp3
autograph,a person's own signature: He collects autographs of artists.,"a handwritten signature, esp that of a famous person",,noun,Latin,Greek,Latin,https://static.sfdict.com/audio/A08/A0831400.mp3
azedarach,chinaberry.,"the astringent bark of the chinaberry tree, formerly used as an emetic and cathartic",,noun,Latin,French,French,https://static.sfdict.com/audio/A08/A0868200.mp3
bacteriolysis,disintegration or dissolution of bacteria.,the destruction or disintegration of bacteria,,noun,,,,https://static.sfdict.com/audio/B00/B0026900.mp3
bahuvrihi,Grammar.,a class of compound words consisting of two elements the first of which is a specific feature of the second,,"noun,",,,,https://static.sfdict.com/audio/B00/B0040300.mp3
baklava,"a Near Eastern pastry made of many layers of paper-thin dough with a filling of ground nuts, baked and then drenched in a syrup of honey and sometimes rosewater.",a rich cake of Middle Eastern origin consisting of thin layers of pastry filled with nuts and honey,,noun,,,,https://static.sfdict.com/audio/B00/B0046500.mp3
ballyhoo,a clamorous and vigorous attempt to win customers or advance any cause; blatant advertising or publicity.,"a noisy, confused, or nonsensical situation or uproar",,"noun,",,,,https://static.sfdict.com/audio/B00/B0063900.mp3
bandanna,"a large, printed handkerchief, typically one with white spots or figures on a red or blue background.",a large silk or cotton handkerchief or neckerchief,,noun,,,,https://static.sfdict.com/audio/B00/B0072200.mp3
basalt,"the dark, dense igneous rock of a lava flow or minor intrusion, composed essentially of labradorite and pyroxene and often displaying a columnar structure.","a fine-grained dark basic igneous rock consisting of plagioclase feldspar, a pyroxene, and olivine: the most common volcanic rock and usually extrusive",,noun,Latin,Greek,Latin,https://static.sfdict.com/audio/B01/B0129300.mp3
batterie,a beating together of the calves or feet during a leap.,,,"noun,",French,,,https://static.sfdict.com/audio/B01/B0157500.mp3
beacon,"a guiding or warning signal, as a light or fire, especially one in an elevated position.",a city in SE New York.,"a signal fire or light on a hill, tower, etc, esp one used formerly as a warning of invasion",noun,Middle English,German,German,https://static.sfdict.com/audio/B01/B0172300.mp3
bee,"any hymenopterous insect of the superfamily Apoidea, including social and solitary species of several families, as the bumblebees, honeybees,  etc.",Also called bee block. Nautical.,Bachelor of Electrical Engineering.,noun,Middle English,German,Middle English,https://static.sfdict.com/audio/B01/B0198900.mp3
Beethoven,"Ludwig van  [van; German fuhn],  /væn; German f?n/,  1770–1827,","Ludwig van ('lu?tv?ç fan). 1770–1827, German composer, who greatly extended the form and scope of symphonic and chamber music, bridging the classical and romantic traditions. His works include nine symphonies, 32 piano sonatas, 16 string quartets, five piano concertos, a violin concerto, two masses, the opera Fidelio (1805), and choral music",,noun,,,,https://static.sfdict.com/audio/B02/B0203800.mp3
bench,a long seat for several people: a bench in the park.,"Johnny,  born 1947,","a long seat for more than one person, usually lacking a back or arms",noun,Middle English,German,German,https://static.sfdict.com/audio/B02/B0237900.mp3
besiege,to lay siege to.,"to surround (a fortified area, esp a city) with military forces to bring about its surrender",,"verb (used with object),",Middle English,,,https://static.sfdict.com/audio/B02/B0274400.mp3
betony,"a plant, Stachys (formerly Betonica) officinalis, of the mint family,  having hairy leaves and dense spikes of purple flowers, formerly used in medicine and dyeing.","a Eurasian plant, Stachys (or Betonica) officinalis, with a spike of reddish-purple flowers, formerly used in medicine and dyeing: family Lamiaceae (labiates)",,"noun,",Middle English,Latin,French,https://static.sfdict.com/audio/B02/B0284100.mp3
bibliopegy,the art of binding books.,,,noun,Greek,,,https://static.sfdict.com/audio/B03/B0302300.mp3
bidialectal,proficient in or using two dialects of the same language.,,,adjective,,,,https://static.sfdict.com/audio/B03/B0311900.mp3
bienvenu,welcome.,,,adjective,,,,https://static.sfdict.com/audio/B03/B0313600.mp3
bienvenue,welcome (used when addressing or referring to a woman).,,,adjective,,,,https://static.sfdict.com/audio/B03/B0313700.mp3
binturong,"an arboreal civet, Arctictis binturong, of Asia, having a long, prehensile tail.","an arboreal SE Asian viverrine mammal, Arctictis binturong, closely related to the palm civets but larger and having long shaggy black hair",,noun,,,,https://static.sfdict.com/audio/B03/B0341400.mp3
biscotto,a cookie or cracker.,,,"noun,",,,,https://static.sfdict.com/audio/B03/B0369900.mp3
Blanche,a female given name: ultimately from a Germanic word meaning “white.”,,,noun,,,,https://static.sfdict.com/audio/B03/B0399100.mp3
Bona,"Bône, the former name of Annaba.",Mount Bona,,noun,,,,https://static.sfdict.com/audio/B04/B0479900.mp3
boomslang,"a venomous, tree-dwelling snake, Dispholidus typus, of tropical and southern Africa, having black to greenish scales.","a large greenish venomous arboreal colubrid snake, Dispholidus typus, of southern Africa",,noun,,,,https://static.sfdict.com/audio/B05/B0500300.mp3
brachiopod,"any mollusklike, marine animal of the phylum Brachiopoda, having a dorsal and ventral shell; a lamp shell.","any marine invertebrate animal of the phylum Brachiopoda, having a ciliated feeding organ (lophophore) and a shell consisting of dorsal and ventral valves",,noun,Latin,Latin,,https://static.sfdict.com/audio/B05/B0562200.mp3
bramble,"any prickly shrub belonging to the genus Rubus, of the rose family.","any of various prickly herbaceous plants or shrubs of the rosaceous genus Rubus, esp the blackberry",,noun,Middle English,German,,https://static.sfdict.com/audio/B05/B0576300.mp3
bray,"the loud, harsh cry of a donkey.","to pound or crush fine, as in a mortar.",(intr),noun,Middle English,Latin,French,https://static.sfdict.com/audio/B05/B0588200.mp3
brazen,shameless or impudent: brazen presumption.,shameless and bold,,adjective,Middle English,,,https://static.sfdict.com/audio/B05/B0589000.mp3
brethren,fellow members.,archaic a plural of brother,,plural noun,,,,https://static.sfdict.com/audio/B06/B0603800.mp3
brought,simple past tense and past participle of bring.,the past tense and past participle of bring,,verb,,,,https://static.sfdict.com/audio/B06/B0645700.mp3
brusque,abrupt in manner; blunt; rough: A brusque welcome greeted his unexpected return.,blunt or curt in manner or speech,,adjective,Latin,French,Italian,https://static.sfdict.com/audio/B06/B0657400.mp3
bubonic,of or relating to a bubo.,,,adjective,Latin,,,https://static.sfdict.com/audio/B06/B0662600.mp3
budgerigar,"an Australian parakeet, Melopsittacus undulatus, having greenish plumage with black and yellow markings, bred as a pet in a variety of colors.","a small green Australian parrot, Melopsittacus undulatus : a popular cagebird that is bred in many different coloured varieties",,,,,,https://static.sfdict.com/audio/B06/B0671800.mp3
budgerigar,"an Australian parakeet, Melopsittacus undulatus, having greenish plumage with black and yellow markings, bred as a pet in a variety of colors.","a small green Australian parrot, Melopsittacus undulatus : a popular cagebird that is bred in many different coloured varieties",,,,,,https://static.sfdict.com/audio/B06/B0671800.mp3
buffa,a woman who sings comic roles in opera.,,,"noun,",Italian,,,https://static.sfdict.com/audio/B06/B0674100.mp3
burglarious,pertaining to or involving burglary.,,,adjective,,,,https://static.sfdict.com/audio/B07/B0709400.mp3
calefacient,Medicine/Medical.,causing warmth,,noun,Latin,Latin,,https://static.sfdict.com/audio/C00/C0043800.mp3
candle,"a long, usually slender piece of tallow or wax with an embedded wick that is burned to give light.","a cylindrical piece of wax, tallow, or other fatty substance surrounding a wick, which is burned to produce light",,noun,Middle English,Latin,Latin,https://static.sfdict.com/audio/C00/C0087200.mp3
capotasto,capo1,,,"noun,",Latin,Italian,,https://static.sfdict.com/audio/C01/C0117700.mp3
carborane,any of the crystalline compounds obtained by the substitution of carbon for boron in borane.,,,noun,,,,https://static.sfdict.com/audio/C01/C0135600.mp3
carol,"a song, especially of joy.",a male or female given name.,Carolingian.,noun,Middle English,Latin,French,https://static.sfdict.com/audio/C01/C0161600.mp3
carol,"a song, especially of joy.",a male or female given name.,Carolingian.,noun,Middle English,Latin,French,https://static.sfdict.com/audio/C01/C0161600.mp3
carte,(italics)French.,Richard d'Oy·ly  [doi-lee].  /'d?? li/.,a variant spelling of quarte,"noun,",Middle English,Latin,Greek,https://static.sfdict.com/audio/C01/C0175500.mp3
cartouche,Architecture.,"a carved or cast ornamental tablet or panel in the form of a scroll, sometimes having an inscription",,noun,French,Italian,French,https://static.sfdict.com/audio/C01/C0179300.mp3
cataclysmic,"of, relating to, or resulting from a cataclysm.",,,adjective,,,,https://static.sfdict.com/audio/C02/C0203200.mp3
century,a period of 100 years.,"a combining form of century,  affixed to the number that specifies the 100-year span cited, and used only as an adjective: 19th-century American literature;a collection of 6th-century metal sculptures that was stolen in the late 20th century.",a period of 100 years,"noun,",Latin,Latin,,https://static.sfdict.com/audio/C02/C0270000.mp3
ceramics,(used with a singular verb),(functioning as singular),,noun,,,,https://static.sfdict.com/audio/C02/C0273500.mp3
Chalcolithic,"of, relating to, or characteristic of the Copper Age.",archaeol,,adjective,,,,https://static.sfdict.com/audio/C03/C0301900.mp3
chanoyu,"a Japanese ceremony at which tea is prepared, served, and taken with an ancient and involved ritual.",,,noun,,,,https://static.sfdict.com/audio/C03/C0319100.mp3
chaperone,"a person, usually a married or older woman, who, for propriety, accompanies a young unmarried woman in public or who attends a party of young unmarried men and women.",,,noun,Middle English,French,,https://static.sfdict.com/audio/C03/C0324700.mp3
charred,burned or reduced to charcoal: Photos provided by the fire department show the charred remains of a sports car.,,,adjective,,,,https://static.sfdict.com/audio/C03/C0329700.mp3
cherubic,"of or having the nature of a cherub,  or an angel represented as a rosy-cheeked child with wings; angelic.",,,adjective,,,,https://static.sfdict.com/audio/C03/C0377100.mp3
chimaera,"any fish of the family Chimaeridae, the male of which has a spiny clasping organ over the mouth.","any tapering smooth-skinned cartilaginous deep-sea fish of the subclass Holocephali (or Bradyodonti), esp any of the genus Chimaera. They have a skull in which the upper jaw is fused to the cranium",,noun,,,,https://static.sfdict.com/audio/C04/C0402700.mp3
chime,"an apparatus for striking a bell so as to produce a musical sound, as one at the front door of a house by which visitors announce their presence.","the edge or brim of a cask, barrel, or the like, formed by the ends of the staves projecting beyond the head or bottom.",an individual bell or the sound it makes when struck,noun,Middle English,French,Middle English,https://static.sfdict.com/audio/C04/C0403200.mp3
chip,"a small, slender piece, as of wood, separated by chopping, cutting, or breaking.",to utter a short chirping or squeaking sound; cheep.,a tricky or special method by which an opponent can be thrown.,noun,Middle English,Latin,German,https://static.sfdict.com/audio/C04/C0411100.mp3
churro,"a long, slender, deep-fried pastry resembling a cruller.",,,"noun,",,,,https://static.sfdict.com/audio/C04/C0478800.mp3
cicatrize,Physiology.,(of a wound or defect in tissue) to close or be closed by scar formation; heal,,"verb (used with object),",Middle English,Latin,,https://static.sfdict.com/audio/C04/C0483500.mp3
clowder,a group or cluster of cats.,,,noun,Middle English,,,https://static.sfdict.com/audio/C05/C0578500.mp3
cogent,"convincing or believable by virtue of forcible, clear, or incisive presentation; telling.",compelling belief or assent; forcefully convincing,,adjective,Latin,Latin,,https://static.sfdict.com/audio/C06/C0623000.mp3
collapsar,(formerly) a gravitationally collapsed star.,astronomy,,noun,,,,https://static.sfdict.com/audio/C06/C0642800.mp3
colonist,an inhabitant of a colony.,a person who settles or colonizes an area,,noun,,,,https://static.sfdict.com/audio/C06/C0656300.mp3
comanchero,"an Indian trader in the U.S. Southwest, especially in the 19th century.",,,"noun,",Latin,,,https://static.sfdict.com/audio/C06/C0668700.mp3
comestible,edible; eatable.,(usually plural),,adjective,Latin,Latin,,https://static.sfdict.com/audio/C06/C0675200.mp3
compatriot,a native or inhabitant of one's own country; fellow countryman or countrywoman.,a fellow countryman,,noun,Latin,Latin,French,https://static.sfdict.com/audio/C06/C0697500.mp3
comportment,personal bearing or conduct; demeanor; behavior.,conduct; bearing,,noun,French,,,https://static.sfdict.com/audio/C07/C0706300.mp3
concinnate,"to arrange or blend together skillfully, as parts or elements; put together in a harmonious, precisely appropriate, or elegant manner.",,,"verb (used with object),",Latin,,,https://static.sfdict.com/audio/C07/C0726300.mp3
connivery,the practice of conniving.,,,noun,,,,https://static.sfdict.com/audio/C07/C0764100.mp3
contrapposto,a representation of the human body in which the forms are organized on a varying or curving axis to provide an asymmetrical balance to the figure.,"(in the visual arts) a curving or asymmetrical arrangement of the human figure with the shoulders, hips, and legs in different planes",,"noun,",Latin,Italian,Latin,https://static.sfdict.com/audio/C08/C0801300.mp3
cooking,the act of a person or thing that cooks.,,,noun,,,,https://static.sfdict.com/audio/C08/C0818300.mp3
corrigendum,"an error to be corrected, especially an error in print.",an error to be corrected,,"noun,",Latin,Latin,,https://static.sfdict.com/audio/C08/C0871000.mp3
coulibiac,"a fish pie usually made with salmon or sturgeon combined with buckwheat, hard-boiled eggs, mushrooms, scallions, wine, herbs, and spices, and served in a brioche or puff pastry.",,,noun,French,,,https://static.sfdict.com/audio/C08/C0899500.mp3
courant,Heraldry.,,,adjective,French,,,https://static.sfdict.com/audio/C09/C0919300.mp3
crew,a group of persons involved in a particular kind of work or working together: the crew of a train; a wrecking crew.,a simple past tense of crow2.,"the men who man a ship, boat, aircraft, etc",noun,Middle English,Latin,French,https://static.sfdict.com/audio/C09/C0972100.mp3
criteria,a plural of criterion.,,,noun,,,,https://static.sfdict.com/audio/C09/C0982000.mp3
croquembouche,a pyramid of bite-size cream puffs coated and held in place with caramelized sugar.,,,"noun,",French,,,https://static.sfdict.com/audio/C09/C0990700.mp3
cruciferous,bearing a cross.,"of, relating to, or belonging to the plant family Cruciferae",,adjective,Latin,,,https://static.sfdict.com/audio/C10/C1008800.mp3
cruise,to sail about on a pleasure trip.,"Tom Thomas Cruise Mapother, 4th, born 1962,",(intr),"verb (used without object),",French,German,,https://static.sfdict.com/audio/C10/C1010700.mp3
crustacean,"any chiefly aquatic arthropod of the class Crustacea, typically having the body covered with a hard shell or crust, including the lobsters, shrimps, crabs, barnacles, and wood lice.","any arthropod of the mainly aquatic class Crustacea, typically having a carapace hardened with lime and including the lobsters, crabs, shrimps, woodlice, barnacles, copepods, and water fleas",,noun,Latin,Latin,,https://static.sfdict.com/audio/C10/C1014200.mp3
curry,East Indian Cooking.,to rub and clean (a horse) with a currycomb.,"John (Anthony),  1949–94,","noun,",Middle English,Latin,French,https://static.sfdict.com/audio/C10/C1060400.mp3
cymbal,"a concave plate of brass or bronze that produces a sharp, ringing sound when struck: played either in pairs, by being struck together, or singly, by being struck with a drumstick or the like.","a percussion instrument of indefinite pitch consisting of a thin circular piece of brass, which vibrates when clashed together with another cymbal or struck with a stick",,noun,Middle English,Latin,French,https://static.sfdict.com/audio/C10/C1093500.mp3
dactylic,"of, containing, or characterized by dactyls: dactylic hexameter; a dactylic line.","of, relating to, or having a dactyl",,adjective,Latin,Greek,,https://static.sfdict.com/audio/D00/D0003300.mp3
dauntless,not to be daunted  or intimidated; fearless; intrepid; bold: a dauntless hero.,bold; fearless; intrepid,,adjective,,,,https://static.sfdict.com/audio/D00/D0052800.mp3
deltoidal,of or relating to a river delta.,,,adjective,,,,https://static.sfdict.com/audio/D01/D0154100.mp3
demographics,(used with a plural verb),data resulting from the science of demography; population statistics,,noun,,,,https://static.sfdict.com/audio/D01/D0166100.mp3
denounce,to condemn or censure openly or publicly: to denounce a politician as morally corrupt.,to deplore or condemn openly or vehemently,,"verb (used with object),",Middle English,Latin,French,https://static.sfdict.com/audio/D01/D0178800.mp3
depredation,the act of preying upon or plundering; robbery; ravage.,the act or an instance of plundering; robbery; pillage,,noun,Latin,,,https://static.sfdict.com/audio/D01/D0194200.mp3
desultory,"lacking in consistency, constancy, or visible order, disconnected; fitful: desultory conversation.","passing or jumping from one thing to another, esp in a fitful way; unmethodical; disconnected",,adjective,Latin,Latin,,https://static.sfdict.com/audio/D02/D0225000.mp3
deter,to discourage or restrain from acting or proceeding: The large dog deterred trespassers.,(tr),,"verb (used with object),",Latin,Latin,,https://static.sfdict.com/audio/D02/D0227000.mp3
did,simple past tense of do1.,the past tense of do 1,,verb,,,,https://static.sfdict.com/audio/D02/D0285600.mp3
did,simple past tense of do1.,the past tense of do 1,,verb,,,,https://static.sfdict.com/audio/D02/D0285600.mp3
did,simple past tense of do1.,the past tense of do 1,,verb,,,,https://static.sfdict.com/audio/D02/D0285600.mp3
differ,"to be unlike, dissimilar, or distinct in nature or qualities (often followed by from): The two writers differ greatly in their perceptions of the world. Each writer's style differs from that of another.",(often foll by from),,verb (used without object),Middle English,Latin,French,https://static.sfdict.com/audio/D02/D0294400.mp3
dinero,"a former silver coin of Peru, the 10th part of a sol.",,,"noun,",Latin,,,https://static.sfdict.com/audio/D03/D0315900.mp3
dissolve,"to make a solution of, as by mixing with a liquid; pass into solution: to dissolve salt in water.",to go or cause to go into solution,,"verb (used with object),",Middle English,Latin,,https://static.sfdict.com/audio/D03/D0392800.mp3
dollar,"a paper money, silver or cupronickel coin, and monetary unit of the United States, equal to 100 cents. Symbol: $","the standard monetary unit of the US and its dependencies, divided into 100 cents",,noun,German,German,,https://static.sfdict.com/audio/D04/D0443800.mp3
domicile,a place of residence; house or home; abode.,a dwelling place,,noun,Latin,French,Latin,https://static.sfdict.com/audio/D04/D0449900.mp3
