catamnesis,a medical history following the onset of an illness.,,,"noun,",No origin given.,,,https://static.sfdict.com/audio/C02/C0207100.mp3
catastasis,"the part of a drama, preceding the catastrophe, in which the action is at its height; the climax of a play.",,,"noun,",Greek,,,https://static.sfdict.com/audio/C02/C0209900.mp3
cerebellum,"a large portion of the brain, serving to coordinate voluntary movements, posture, and balance in humans, being in back of and below the cerebrum and consisting of two lateral lobes and a central lobe.","one of the major divisions of the vertebrate brain, situated in man above the medulla oblongata and beneath the cerebrum, whose function is coordination of voluntary movements and maintenance of bodily equilibrium",,"noun,",Latin,Latin,,https://static.sfdict.com/audio/C02/C0275800.mp3
chameleon,"any of numerous Old World lizards of the family Chamaeleontidae, characterized by the ability to change the color of their skin, very slow locomotion, and a projectile tongue.","any lizard of the family Chamaeleontidae of Africa and Madagascar, having long slender legs, a prehensile tail and tongue, and the ability to change colour",,noun,Middle English,Latin,French,https://static.sfdict.com/audio/C03/C0308000.mp3
charactonym,a name given to a literary character  that is descriptive of a quality or trait of the character.,,,noun,No origin given.,,,https://static.sfdict.com/audio/C03/C0328200.mp3
charango,a small South American guitar made from the shell of an armadillo or similar animal and having two to five strings.,,,"noun,",No origin given.,,,https://static.sfdict.com/audio/C03/C0328400.mp3
chloasma,"a condition in which light-brown spots occur on the skin, caused by exposure to sun, dyspepsia, or certain specific diseases.",med,,noun,Latin,Greek,Latin,https://static.sfdict.com/audio/C04/C0421300.mp3
choreographer,a person who creates dance compositions and plans and arranges dance movements and patterns for dances and especially for ballets.,,,noun,No origin given.,,,https://static.sfdict.com/audio/C04/C0445200.mp3
chouette,"a variation of a two-handed game, as backgammon, allowing the participation of three or more persons, in which one player accepts the bets of all the others on the outcome of a game between that player and one other active player, who is permitted to receive advice from the nonplayers.",,,noun,French,,,https://static.sfdict.com/audio/C04/C0449600.mp3
churrasco,meat cooked over an open fire.,,,"noun,",Latin,,,https://static.sfdict.com/audio/C04/C0478400.mp3
Ciceronian,of or relating to Cicero or his writings: the Ciceronian orations.,of or resembling Cicero or his rhetorical style; eloquent,,adjective,Latin,,,https://static.sfdict.com/audio/C04/C0484300.mp3
civitas,"the body of citizens who constitute a state, especially a city-state, commonwealth, or the like.",,,"noun,",Latin,,,https://static.sfdict.com/audio/C05/C0517300.mp3
coerce,"to compel by force, intimidation, or authority, especially without regard for individual desire or volition: They coerced him into signing the document.",(tr),,"verb (used with object),",Middle English,Latin,Latin,https://static.sfdict.com/audio/C06/C0617700.mp3
cognoscitive,having the ability to know or discover: cognoscitive powers.,,,adjective,Latin,,,https://static.sfdict.com/audio/C06/C0625400.mp3
coleopterous,"belonging or pertaining to the order Coleoptera,  comprising the beetles.",,,adjective,No origin given.,,,https://static.sfdict.com/audio/C06/C0639100.mp3
collunarium,a solution for application in the nose; nose drops.,,,"noun,",Latin,,,https://static.sfdict.com/audio/C06/C0651500.mp3
collutorium,collutory.,,,"noun,",No origin given.,,,https://static.sfdict.com/audio/C06/C0651900.mp3
condign,well-deserved; fitting; adequate: condign punishment.,(esp of a punishment) fitting; deserved,,adjective,Middle English,Latin,French,https://static.sfdict.com/audio/C07/C0733400.mp3
coquille,any of various seafood or chicken dishes baked with a sauce and usually served in a scallop shell or a shell-shaped serving dish.,"any dish, esp seafood, served in a scallop shell",,"noun,",French,Latin,French,https://static.sfdict.com/audio/C08/C0837400.mp3
crochet,needlework done with a needle having a small hook at one end for drawing the thread or yarn through intertwined loops.,"to make (a piece of needlework, a garment, etc) by looping and intertwining thread with a hooked needle (crochet hook)",,noun,Middle English,French,French,https://static.sfdict.com/audio/C09/C0984100.mp3
cryology,the study of snow and ice.,,,noun,No origin given.,,,https://static.sfdict.com/audio/C10/C1017900.mp3
culottes,Sometimes cu·lotte .,women's flared trousers cut to look like a skirt,,noun,French,French,,https://static.sfdict.com/audio/C10/C1038900.mp3
cushion,"a soft bag of cloth, leather, or rubber, filled with feathers, air, foam rubber, etc., on which to sit, kneel, or lie.","a bag made of cloth, leather, plastic, etc, filled with feathers, air, or other yielding substance, used for sitting on, leaning against, etc",,noun,Middle English,Latin,French,https://static.sfdict.com/audio/C10/C1065400.mp3
cymbiform,having the shape of a boat; boat-shaped.,,,adjective,Latin,Greek,,https://static.sfdict.com/audio/C10/C1094000.mp3
dacquoise,"a dessert consisting of baked layers of nut-flavored meringue with a cream filling, sometimes with the addition of fruit, served chilled.",,,noun,French,,,https://static.sfdict.com/audio/D00/D0002400.mp3
Daliesque,"of, pertaining to, resembling, or characteristic of the surrealist art of Salvador Dali: giant advertising posters depicting Daliesque distortions of everyday objects.",,,adjective,No origin given.,,,https://static.sfdict.com/audio/D00/D0017400.mp3
Dantesque,in the style of Dante; characterized by impressive elevation of style with deep solemnity or somberness of feeling.,,,adjective,French,Italian,,https://static.sfdict.com/audio/D00/D0035100.mp3
dauntless,not to be daunted  or intimidated; fearless; intrepid; bold: a dauntless hero.,bold; fearless; intrepid,,adjective,,,,https://static.sfdict.com/audio/D00/D0052800.mp3
deaerate,to remove air or gas from.,,,"verb (used with object),",No origin given.,,,https://static.sfdict.com/audio/D00/D0066800.mp3
dégringolade,French.,,,"noun,",No origin given.,,,https://static.sfdict.com/audio/D01/D0129100.mp3
demibastion,"a work consisting of half a bastion,  and hence having one face and one flank.",fortifications,,noun,,,,https://static.sfdict.com/audio/D01/D0160100.mp3
desman,"either of two aquatic, insectivorous mammals, Myogale moschata, of southeastern Russia, or M. pyrenaica, of the Pyrenees, related to shrews.","either of two molelike amphibious mammals Desmana moschata (Russian desman) or Galemys pyrenaicus (Pyrenean desman), having dense fur and webbed feet: family Talpidae, order Insectivora (insectivores)",,"noun,",German,,,https://static.sfdict.com/audio/D02/D0217200.mp3
desultory,"lacking in consistency, constancy, or visible order, disconnected; fitful: desultory conversation.","passing or jumping from one thing to another, esp in a fitful way; unmethodical; disconnected",,adjective,Latin,Latin,,https://static.sfdict.com/audio/D02/D0225000.mp3
discerptible,capable of being torn apart; divisible.,,,adjective,Latin,,,https://static.sfdict.com/audio/D03/D0347000.mp3
discreetly,in a way that is careful about something of a personal or delicate nature; circumspectly: These protocols allow patients to have private conversations with caregivers in which their questions can be answered discreetly.,,,adverb,,,,https://static.sfdict.com/audio/NEW2016/discreetly_010.mp3
discursive,passing aimlessly from one subject to another; digressive; rambling.,"passing from one topic to another, usually in an unmethodical way; digressive",,adjective,Latin,Latin,,https://static.sfdict.com/audio/D03/D0357000.mp3
disingenuous,"lacking in frankness, candor, or sincerity; falsely or hypocritically ingenuous;  insincere: Her excuse was rather disingenuous.",not sincere; lacking candour,,adjective,No origin given.,,,https://static.sfdict.com/audio/D03/D0369400.mp3
disinter,to take out of the place of interment; exhume; unearth.,to remove or dig up; exhume,,"verb (used with object),",,,,https://static.sfdict.com/audio/D03/D0370200.mp3
docile,easily managed or handled; tractable: a docile horse.,"easy to manage, control, or discipline; submissive",,adjective,Latin,Latin,,https://static.sfdict.com/audio/D04/D0424700.mp3
draegerman,"a miner, usually a member of a special crew, trained in underground rescue work and other emergency procedures.",,,"noun,",German,,,https://static.sfdict.com/audio/D05/D0511400.mp3
dyspeptic,"pertaining to, subject to, or suffering from dyspepsia.",relating to or suffering from dyspepsia,,adjective,Greek,,,https://static.sfdict.com/audio/D06/D0611400.mp3
echinate,bristly; prickly.,biology,,adjective,Latin,,,https://static.sfdict.com/audio/E00/E0023700.mp3
Eden,the place where Adam and Eve lived before the Fall. Genesis 2:8–24.,"(Robert) Anthony, Earl of Avon,  1897–1977,",Also called: Garden of Eden Old Testament,noun,Latin,,,https://static.sfdict.com/audio/E00/E0041900.mp3
edulcorate,"to free from acids, salts, or impurities by washing; purify.",(tr),,"verb (used with object),",Latin,Latin,,https://static.sfdict.com/audio/E00/E0050400.mp3
elaterid,"any beetle of the family Elateridae, comprising the click beetles.",any of the beetles constituting the widely distributed family Elateridae (click beetles). The group includes the wireworms and certain fireflies,,noun,Latin,Greek,Latin,https://static.sfdict.com/audio/E00/E0079700.mp3
electrolyte,Physical Chemistry.,a solution or molten substance that conducts electricity,,noun,,,,https://static.sfdict.com/audio/E00/E0092000.mp3
ellipsoidal,pertaining to or having the form of an ellipsoid.,,,adjective,,,,https://static.sfdict.com/audio/E01/E0113600.mp3
eluvium,"a deposit of soil, dust, etc., formed from the decomposition of rock and found in its place of origin.","a mass of sand, silt, etc: a product of the erosion of rocks that has remained in its place of origin",,"noun,",Latin,Latin,,https://static.sfdict.com/audio/E01/E0121500.mp3
emmetropia,"the normal refractive condition of the eye, in which the rays of light are accurately focused on the retina.","the normal condition of perfect vision, in which parallel light rays are focused on the retina without the need for accommodation",,noun,Latin,Greek,Latin,https://static.sfdict.com/audio/E01/E0144600.mp3
enate,a person related on one's mother's side.,biology,,noun,Latin,Latin,,https://static.sfdict.com/audio/E01/E0155100.mp3
encarpus,"an ornament having draperies, weapons, etc., arranged in the manner of a festoon.",,,"noun,",Greek,,,https://static.sfdict.com/audio/E01/E0156400.mp3
enneastyle,Architecture.,,,adjective,No origin given.,,,https://static.sfdict.com/audio/E01/E0198300.mp3
ephemeral,lasting a very short time; short-lived; transitory: the ephemeral joys of childhood.,lasting for only a short time; transitory; short-lived,,adjective,Greek,Greek,,https://static.sfdict.com/audio/E02/E0232700.mp3
epidemiology,"the study, assessment, and analysis of public health concerns in a given population; the tracking of patterns and effects of diseases, environmental toxins, natural disasters, violence, terrorist attacks, etc.: Without the profiles gleaned through epidemiology, our health agencies would be at a terrible loss when something like COVID-19 emerges.","the branch of medical science concerned with the occurrence, transmission, and control of epidemic diseases",,noun,No origin given.,,,https://static.sfdict.com/audio/E02/E0239700.mp3
equivocally,in a deliberately ambiguous or questionable way.,,,adverb,,,,https://static.sfdict.com/audio/NEW2016/equivocally_000.mp3
eremite,"a hermit or recluse, especially one under a religious vow.",a Christian hermit or recluse,,noun,Middle English,Latin,,https://static.sfdict.com/audio/E02/E0272100.mp3
erythrophobia,an irrational or disproportionate fear of the color red.,,,noun,,,,https://static.sfdict.com/audio/E02/E0290500.mp3
espagnole,brown sauce.,,,noun,French,,,https://static.sfdict.com/audio/E03/E0301100.mp3
estrangement,"the state of being alienated or separated in feeling or affection; a state of hostility or unfriendliness:Since the summer there’s been a rift in the family over something that my daughter posted online, and I still can't figure out how this estrangement occurred over something so silly.Diplomatic relations between the two nations were officially restored after more than five decades of estrangement.",,,noun,,,,https://static.sfdict.com/audio/NEW2016/estrangement_010.mp3
étoile,a star or something shaped like a star.,,,"noun,",,,,https://static.sfdict.com/audio/E03/E0331000.mp3
Eucharist,the sacrament of Holy Communion; the sacrifice of the Mass; the Lord's Supper.,the Christian sacrament in which Christ's Last Supper is commemorated by the consecration of bread and wine,,noun,Middle English,Latin,Greek,https://static.sfdict.com/audio/E03/E0335000.mp3
euripus,"a strait, especially one in which the flow of water is violent.",a strait or channel with a strong current or tide,,"noun,",Latin,Greek,Latin,https://static.sfdict.com/audio/E03/E0347900.mp3
euripus,"a strait, especially one in which the flow of water is violent.",a strait or channel with a strong current or tide,,"noun,",Latin,Greek,Latin,https://static.sfdict.com/audio/E03/E0347900.mp3
eustasy,"any uniformly global change of sea level that may reflect a change in the quantity of water in the ocean, or a change in the shape and capacity of the ocean basins.",,,"noun,",German,,,https://static.sfdict.com/audio/E03/E0353100.mp3
eustasy,"any uniformly global change of sea level that may reflect a change in the quantity of water in the ocean, or a change in the shape and capacity of the ocean basins.",,,"noun,",German,,,https://static.sfdict.com/audio/E03/E0353100.mp3
eutaxy,good order or management.,,,noun,Greek,,,https://static.sfdict.com/audio/E03/E0353500.mp3
extinguishant,a substance used in extinguishing  fires.,"a substance, such as a liquid, foam, powder, etc, used in extinguishing fires",,noun,No origin given.,,,https://static.sfdict.com/audio/E04/E0429200.mp3
fabricate,to make by art or skill and labor; construct: The finest craftspeople fabricated this clock.,"to make, build, or construct",,"verb (used with object),",Middle English,Latin,,https://static.sfdict.com/audio/F00/F0002300.mp3
facile,"moving, acting, working, proceeding, etc., with ease, sometimes with superficiality: facile fingers; a facile mind.",easy to perform or achieve,,adjective,Latin,Latin,,https://static.sfdict.com/audio/F00/F0005900.mp3
fainéant,Also fai·ne·ant  [fey-nee-uhnt].  /ˈfeɪ ni ənt/.,a lazy person; idler,,adjective,French,French,,https://static.sfdict.com/audio/F00/F0014900.mp3
faveolate,honeycombed; alveolate; pitted.,pitted with cell-like cavities,,adjective,Latin,,,https://static.sfdict.com/audio/F00/F0063700.mp3
felonious,Law.,criminal law,,adjective,Middle English,French,,https://static.sfdict.com/audio/F00/F0085300.mp3
fidget,"to move about restlessly, nervously, or impatiently.",(intr),,verb (used without object),,,,https://static.sfdict.com/audio/F01/F0125500.mp3
firnification,the process by which snow changes into névé.,,,noun,No origin given.,,,https://static.sfdict.com/audio/F01/F0166900.mp3
fluoridation,the addition of fluorides  to the public water supply to reduce the incidence of tooth decay.,the addition of about one part per million of fluorides to the public water supply as a protection against tooth decay,,noun,No origin given.,,,https://static.sfdict.com/audio/F02/F0241100.mp3
Fomorian,one of a race of pirates or sea demons who raided and pillaged Ireland but were finally defeated: sometimes associated with the hostile powers of nature.,,,noun,No origin given.,,,https://static.sfdict.com/audio/F02/F0265000.mp3
Fomorian,one of a race of pirates or sea demons who raided and pillaged Ireland but were finally defeated: sometimes associated with the hostile powers of nature.,,,noun,,,,https://static.sfdict.com/audio/F02/F0265000.mp3
fondu,fondue (def. 4).,,,adjective,French,,,https://static.sfdict.com/audio/F02/F0266300.mp3
fondu,fondue (def. 4).,,,adjective,French,,,https://static.sfdict.com/audio/F02/F0266300.mp3
Fräulein,an unmarried woman.,an unmarried German woman: formerly used as a title equivalent to Miss,,"noun,",German,,,https://static.sfdict.com/audio/F03/F0352800.mp3
frenetic,frantic;  frenzied.,distracted or frantic; frenzied,,adjective,Latin,French,Greek,https://static.sfdict.com/audio/F03/F0367300.mp3
gadgetry,mechanical or electronic contrivances; gadgets: the gadgetry of the well-equipped modern kitchen.,gadgets collectively,,noun,No origin given.,,,https://static.sfdict.com/audio/G00/G0006200.mp3
gantlet,Railroads.,gauntlet1.,a section of a railway where two tracks overlap,noun,No origin given.,,,https://static.sfdict.com/audio/G00/G0045700.mp3
genealogy,"a record or account of the ancestry and descent of a person, family, group, etc.",the direct descent of an individual or group from an ancestor,,"noun,",Middle English,Latin,French,https://static.sfdict.com/audio/G00/G0095500.mp3
globigerina,"any marine foraminifer of the genus Globigerina, having a calcareous shell, occurring either near the surface of the sea or in the mud at the bottom.","any marine protozoan of the genus Globigerina, having a rounded shell with spiny processes: phylum Foraminifera (foraminifers)",,"noun,",Latin,Latin,,https://static.sfdict.com/audio/G01/G0193000.mp3
gonyaulax,"any marine dinoflagellate of the genus Gonyaulax, sometimes occurring in great numbers and causing red tide.",,,noun,Latin,Greek,,https://static.sfdict.com/audio/G02/G0254100.mp3
Götterdämmerung,German Mythology.,German myth,,noun,German,,,https://static.sfdict.com/audio/G02/G0273800.mp3
grandiloquent,"speaking or expressed in a lofty style, often to the point of being pompous or bombastic.","inflated, pompous, or bombastic in style or expression",,adjective,Latin,,,https://static.sfdict.com/audio/G02/G0298200.mp3
Graustark,a novel (1901) by George Barr McCutcheon about the romantic and melodramatic adventures of military and courtly figures in the fictional kingdom of Graustark.,,,noun,No origin given.,,,https://static.sfdict.com/audio/G03/G0316000.mp3
grimoire,a manual of magic or witchcraft used by witches and sorcerers.,a textbook of sorcery and magic,,noun,French,French,,https://static.sfdict.com/audio/NEW2014/4422210.mp3
hafiz,a title of respect for a Muslim who knows the Quran by heart.,"Shams ud-din Mohammed, c1320–89?,",a title for a person who knows the Koran by heart,noun,No origin given.,,,https://static.sfdict.com/audio/H00/H0012300.mp3
haunch,the hip.,"the human hip or fleshy hindquarter of an animal, esp a horse or similar quadruped",,noun,Middle English,French,German,https://static.sfdict.com/audio/H01/H0116100.mp3
hegumen,the head of a monastery.,the head of a monastery of the Eastern Church,,noun,Latin,Greek,Latin,https://static.sfdict.com/audio/H01/H0160900.mp3
helichrysum,"any of the numerous composite plants of the genus Helichrysum, having alternate leaves and solitary or clustered flower heads, including the strawflower.","any plant of the widely cultivated genus Helichrysum, whose flowers retain their shape and colour when dried: family Asteraceae (composites)",,noun,Latin,Greek,Latin,https://static.sfdict.com/audio/H01/H0169400.mp3
hieromonk,a monk who is also a priest.,,,noun,Greek,,,https://static.sfdict.com/audio/H02/H0270600.mp3
hieromonk,a monk who is also a priest.,,,noun,Greek,,,https://static.sfdict.com/audio/H02/H0270600.mp3
hirtellous,minutely hirsute.,,,adjective,Latin,,,https://static.sfdict.com/audio/H02/H0299800.mp3
horologium,"a timepiece, as a clock or sundial, or a building supporting or containing a timepiece.",a clocktower,a faint constellation in the S hemisphere lying near Eridanus and Hydrus,"noun,",Latin,Greek,Latin,https://static.sfdict.com/audio/H03/H0382800.mp3
hyacinthine,of or like the hyacinth.,,,adjective,Latin,Greek,,https://static.sfdict.com/audio/H04/H0453900.mp3
hyetology,the branch of meteorology dealing with precipitation.,,,noun,,,,https://static.sfdict.com/audio/H04/H0478700.mp3
hylophagous,xylophagous (def. 1).,(esp of insects) feeding on wood,,adjective,Greek,Greek,,https://static.sfdict.com/audio/H04/H0481500.mp3
hyperosmia,an abnormally acute sense of smell.,an abnormally acute sense of smell,,noun,Greek,Greek,,https://static.sfdict.com/audio/H04/H0496500.mp3
Icarian,of or like Icarus.,of or relating to Icarus,of or relating to Icaria or its inhabitants,adjective,Latin,Greek,,https://static.sfdict.com/audio/I00/I0006700.mp3
ichor,Classical Mythology.,Greek myth,,noun,Latin,Greek,Greek,https://static.sfdict.com/audio/I00/I0010900.mp3
impeachable,"making one subject to impeachment, as misconduct in office.",capable of being impeached or accused,,adjective,,,,https://static.sfdict.com/audio/I00/I0070300.mp3
implemented,"carried out; put into effect, usually by means of a definite plan or procedure:The collaboration between the two leaders created a synergy in translating the company's policy from paper into an implemented practice.",,,adjective,,,,https://static.sfdict.com/audio/NEW2016/implemented_010.mp3
imputrescible,not liable to decomposition or putrefaction; incorruptible: a tanning process to make skins imputrescible.,,,adjective,Latin,,,https://static.sfdict.com/audio/I00/I0090500.mp3
incienso,"a shrubby, composite desert plant, Encelia farinosa, of the southwestern U.S., having silvery leaves and clusters of yellow flowers.",,,noun,No origin given.,,,https://static.sfdict.com/audio/I01/I0103300.mp3
innocuous,not harmful or injurious; harmless: an innocuous home remedy.,having little or no adverse or harmful effect; harmless,,adjective,Latin,Latin,,https://static.sfdict.com/audio/I01/I0189100.mp3
intuit,to know or receive by intuition.,to know or discover by intuition,,verb (used with or without object),,,,https://static.sfdict.com/audio/I02/I0272900.mp3
isohyet,a line drawn on a map connecting points having equal rainfall at a certain time or for a stated period.,a line on a map connecting places having equal rainfall,,noun,Greek,Greek,,https://static.sfdict.com/audio/I03/I0334500.mp3
isonomy,equality of political rights.,the equality before the law of the citizens of a state,,noun,Greek,,,https://static.sfdict.com/audio/I03/I0338500.mp3
jocosity,the state or quality of being jocose.,,,"noun,",No origin given.,,,https://static.sfdict.com/audio/J00/J0073700.mp3
judicator,a person who acts as judge or sits in judgment.,a person who acts as a judge,,noun,Latin,,,https://static.sfdict.com/audio/J01/J0104900.mp3
kaiser,a German emperor.,"Henry J(ohn),  1882–1967,","any German emperor, esp Wilhelm II (ruled 1888–1918)",noun,Middle English,Latin,German,https://static.sfdict.com/audio/K00/K0008200.mp3
kamelaukion,"a tall, black, brimless, flat-topped hat, worn by the clergy of the Eastern Church.",,,"noun,",Greek,,,https://static.sfdict.com/audio/K00/K0017000.mp3
kamelaukion,"a tall, black, brimless, flat-topped hat, worn by the clergy of the Eastern Church.",,,"noun,",Greek,,,https://static.sfdict.com/audio/K00/K0017000.mp3
keratogenous,producing horn or a horny substance.,developing or causing the growth of horny tissue,,adjective,,,,https://static.sfdict.com/audio/K00/K0069900.mp3
kerplunk,with or as if with a sudden muffled thud: The huge stone hit the water kerplunk.,,,adverb,No origin given.,,,https://static.sfdict.com/audio/K00/K0075600.mp3
kevel,"a sturdy bit, bollard, etc., on which the heavier hawsers of a ship may be secured.","a hammer for the rough dressing of stone, having one square face and one pyramidal face.",nautical,noun,Middle English,Latin,French,https://static.sfdict.com/audio/K00/K0080700.mp3
Kierkegaardian,"of, relating to, or resembling the philosophy or religious views of Kierkegaard.",,,adjective,No origin given.,,,https://static.sfdict.com/audio/K00/K0099600.mp3
Killarney,a town in the SW Republic of Ireland.,"a town in SW Republic of Ireland, in Co Kerry: a tourist centre near the Lakes of Killarney . Pop: 13 137 (2002)",,noun,,,,https://static.sfdict.com/audio/K01/K0101900.mp3
kinetosis,"any condition caused by motion of the body, as seasickness.",,,noun,No origin given.,,,https://static.sfdict.com/audio/K01/K0113000.mp3
knavish,like or befitting a knave; untrustworthy; dishonest.,,,adjective,Middle English,,,https://static.sfdict.com/audio/K01/K0143800.mp3
krakowiak,a lively Polish folk dance in duple meter with syncopated accents.,,,noun,,,,https://static.sfdict.com/audio/K01/K0180700.mp3
